"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"25041","Uruguay",2020-07-20,181,1064,10,33,0,927,5,104,30.6,0.3,3,0.9,0,122,92
"25238","USA",2020-07-20,181,3830010,56750,140906,372,1160087,28966,2529017,1157.1,17.1,764,42.6,0.1,138,138
"25375","Uzbekistan",2020-07-20,181,17149,397,90,3,9387,108,7672,51.2,1.2,22.9,0.3,0,114,78
"25539","Venezuela",2020-07-20,181,12334,443,116,4,6844,2872,5374,43.4,1.6,18.9,0.4,0,116,90
"25707","Vietnam",2020-07-20,181,384,1,0,0,360,3,24,0.4,0,0,0,0,120,0
"25849","West Bank and Gaza",2020-07-20,181,8916,367,63,1,1921,0,6932,185.8,7.6,144.4,1.3,0,113,17
"25936","Western Sahara",2020-07-20,181,10,0,1,0,8,0,1,1.7,0,0.2,0.2,0,0,0
"25990","Yemen",2020-07-20,181,1619,13,447,2,714,2,458,5.4,0,1.5,1.5,0,66,69
"26101","Zambia",2020-07-20,181,3326,346,128,8,1620,158,1578,18.1,1.9,8.6,0.7,0,81,42
"26330","Zimbabwe",2020-07-20,181,1713,102,26,1,472,0,1215,11.5,0.7,8.2,0.2,0,54,10
